"","Judge.Identification.Number","Judge.Last.Name","Judge.First.Name","Judge.Middle.Name","Birth.year","Place.of.Birth..City.","Place.of.Birth..State.","Gender","Race.or.Ethnicity","Name.of.School","place","name","decade","lon","lat"
"350",1376,"Lemley","Harry","Jacob",1883,"Upperville","VA","M","White","Washington and Lee University School of Law","Upperville, VA","Lemley, Harry",1880,-77.884722,38.993889
"351",1377,"Lemmon","Dal","Millington",1887,"Newton","KS","M","White","Stanford University","Newton, KS","Lemmon, Dal",1880,-97.3450365,38.0466779
"352",3312,"Lenroot","Irvine","Luther",1869,"Superior","WI","M","White","Parsons Business College, Duluth, Minnesota","Superior, WI","Lenroot, Irvine",1860,-92.1040796,46.7207737
"353",1381,"Letts","Fred","Dickinson",1875,"Ainsworth","IA","M","White","Parsons College, Fairfield, Iowa","Ainsworth, IA","Letts, Fred",1870,-91.5515505,41.2875208
"354",1382,"Letts","Ira","Lloyd",1889,"Cortland County","NY","M","White","Brown University","Cortland County, NY","Letts, Ira",1880,-75.9927652,42.5440918
"355",1386,"Levet","Richard","Harrington",1894,"Geneva","NY","M","White","Colgate University","Geneva, NY","Levet, Richard",1890,-76.985557,42.8679836
"356",1389,"Levin","Theodore"," ",1897,"Chicago","IL","M","White","University of Detroit Law School (now University of Detroit Mercy School of Law)","Chicago, IL","Levin, Theodore",1890,-87.6297982,41.8781136
"357",1393,"Lewis","Robert","E.",1857,"Cass County","MO","M","White","Westminster College, Fulton, Missouri","Cass County, MO","Lewis, Robert",1850,-94.315422,38.6574448
"358",1401,"Lindley","Walter","C.",1880,"Neoga","IL","M","White","University of Illinois","Neoga, IL","Lindley, Walter",1880,-88.4528261,39.3194817
"359",1403,"Ling","David","W.",1890,"Ann Arbor","MI","M","White","University of Southern California Law School","Ann Arbor, MI","Ling, David",1890,-83.7430378,42.2808256
"360",3266,"Littleton","Benjamin","Horsley",1889,"Weatherford","TX","M","White","Cumberland School of Law","Weatherford, TX","Littleton, Benjamin",1880,-97.7972544,32.7592955
"361",1414,"Long","Augustus","V.",1877,"Lake City","FL","M","White","Florida Agricultural College (now University of Florida)","Lake City, FL","Long, Augustus",1870,-82.6392899,30.1896756
"362",1421,"Louderback","Harold"," ",1881,"San Francisco","CA","M","White","Nevada State University (now University of Nevada, Reno)","San Francisco, CA","Louderback, Harold",1880,-122.4194155,37.7749295
"363",1426,"Lovett","Archibald","Battle",1884,"Sylvania","GA","M","White","Mercer University","Sylvania, GA","Lovett, Archibald",1880,-81.636776,32.7504441
"364",1428,"Lowell","Francis","Cabot",1855,"Boston","MA","M","White","Harvard University","Boston, MA","Lowell, Francis",1850,-71.0597732,42.3584308
"365",1429,"Lowell","James","Arnold",1869,"Newton","MA","M","White","Harvard University","Newton, MA","Lowell, James",1860,-71.2092214,42.3370413
"366",1436,"Luhring","Oscar","Raymond",1879,"Gibson County","IN","M","White","University of Virginia School of Law","Gibson County, IN","Luhring, Oscar",1870,-87.5791287,38.3338249
"367",1438,"Lumpkin","Alva","Moore",1886,"Milledgeville","GA","M","White","University of South Carolina School of Law","Milledgeville, GA","Lumpkin, Alva",1880,-83.2320991,33.0801429
"368",1442,"Luse","Claude","Zeth",1879,"Stoughton","WI","M","White","University of Minnesota","Stoughton, WI","Luse, Claude",1870,-89.2178937,42.9169462
"369",1445,"Lynch","Charles","Francis",1884,"Franklin","NJ","M","White","Read law","Franklin, NJ","Lynch, Charles",1880,-74.550447,40.476872
"370",1452,"Machrowicz","Thaddeus","M.",1899,"Gostyn","Poland","M","White","Detroit College of Law (now Michigan State University College of Law)","Gostyn, Poland","Machrowicz, Thaddeus",1890,17.01215,51.8786
"371",1453,"Mack","Julian","William",1866,"San Francisco","CA","M","White","Harvard Law School","San Francisco, CA","Mack, Julian",1860,-122.4194155,37.7749295
"372",3248,"Madden","Joseph","Warren",1890,"Damascus","IL","M","White","University of Illinois","Damascus, IL","Madden, Joseph",1890,-89.7062292,42.3722378
"373",1463,"Magruder","Calvert"," ",1893,"Annapolis","MD","M","White","St. John`s College, Annapolis, Maryland","Annapolis, MD","Magruder, Calvert",1890,-76.4921829,38.9784453
"374",1465,"Mahoney","John","Christopher",1882,"Cork","Ireland","M","White","Brown University","Cork, Ireland","Mahoney, John",1880,-8.4863157,51.8968917
"375",1467,"Major","James","Earl",1887,"Donnellson","IL","M","White","Illinois College of Law (now DePaul University College of Law)","Donnellson, IL","Major, James",1880,-89.4734175,39.027824
"376",1469,"Mandelbaum","Samuel"," ",1884," ","Russia","M","White","New York University School of Law"," , Russia","Mandelbaum, Samuel",1880,105.318756,61.52401
"377",1475,"Manton","Martin","Thomas",1880,"New York","NY","M","White","Columbia Law School","New York, NY","Manton, Martin",1880,-74.0059413,40.7127837
"378",1478,"Maris","Albert","Branson",1893,"Philadelphia","PA","M","White","Temple University School of Law","Philadelphia, PA","Maris, Albert",1890,-75.163789,39.952335
"379",1487,"Marshall","John","Augustine",1854,"near Warrenton","VA","M","White","University of Virginia School of Law","near Warrenton, VA","Marshall, John",1850,-77.7952712,38.7134516
"380",1492,"Martin","George","Ewing",1857,"Lancaster","OH","M","White","Wittenberg College","Lancaster, OH","Martin, George",1850,-82.5993294,39.7136754
"381",1495,"Martin","John","Donelson",1883,"Memphis","TN","M","White","University of Virginia School of Law","Memphis, TN","Martin, John",1880,-90.0489801,35.1495343
"382",1497,"Martineau","John","Ellis",1873,"Clay County","MO","M","White","Arkansas Industrial University (now University of Arkansas)","Clay County, MO","Martineau, John",1870,-94.479976,39.3176186
"383",1501,"Mathes","William","Carey",1899,"Hale Center","TX","M","White","University of Texas","Hale Center, TX","Mathes, William",1890,-101.8437866,34.0642436
"384",1502,"Mathews","Clifton"," ",1880,"Concord","GA","M","White","Read law","Concord, GA","Mathews, Clifton",1880,-84.4374232,33.0912359
"385",1506,"Matthews","Burnita","Shelton",1894,"Burnell","MS","F","White","National University School of Law (now George Washington University Law School)","Burnell, MS","Matthews, Burnita",1890,-90.7458188,31.808504
"386",1511,"Mayer","Julius","Marshuetz",1865,"New York","NY","M","White","City College of New York","New York, NY","Mayer, Julius",1860,-74.0059413,40.7127837
"387",1514,"McAllister","Thomas","Francis",1896,"Grand Rapids","MI","M","White","University of Michigan Law School","Grand Rapids, MI","McAllister, Thomas",1890,-85.6680863,42.9633599
"388",1520,"McCall","John","Ethridge",1859,"Clarksburg","TN","M","White","University of Tennessee","Clarksburg, TN","McCall, John",1850,-88.3931039,35.8717309
"389",1522,"McCamant","Wallace"," ",1867,"Hollidaysburg","PA","M","White","Lafayette College","Hollidaysburg, PA","McCamant, Wallace",1860,-78.3889024,40.4272949
"390",1524,"McCarthy","James","William",1872,"Jersey City","NJ","M","White","New York Law School","Jersey City, NJ","McCarthy, James",1870,-74.0776417,40.7281575
"391",1525,"McCarthy","William","T.",1885,"Somerville","MA","M","White","College of the Holy Cross","Somerville, MA","McCarthy, William",1880,-71.0994968,42.3875968
"392",3323,"McClelland","Charles","Paul",1854,"Glenluce","Scotland","M","White","New York University School of Law","Glenluce, Scotland","McClelland, Charles",1850,-4.8087989,54.879954
"393",1527,"McClintic","George","Warwick",1866,"Pocohontas County","WV","M","White","Roanoke College","Pocohontas County, WV","McClintic, George",1860,-80.0087746,38.3101706
"394",1530,"McColloch","Claude","Charles",1888,"Red Bluff","CA","M","White","University of Chicago Law School","Red Bluff, CA","McColloch, Claude",1880,-122.2358302,40.1784886
"395",1532,"McCord","Leon","Clarence",1878,"Conyers","GA","M","White","Vanderbilt University","Conyers, GA","McCord, Leon",1870,-84.0176904,33.6676103
"396",1534,"McCormick","Paul","John",1879,"New York","NY","M","White","St. Ignatius College (now University of San Francisco)","New York, NY","McCormick, Paul",1870,-74.0059413,40.7127837
"397",1535,"McCoy","Walter","Irving",1859,"Troy","NY","M","White","Harvard University","Troy, NY","McCoy, Walter",1850,-73.6917851,42.7284117
"398",1541,"McDermott","George","Thomas",1886,"Winfield","KS","M","White","University of Chicago","Winfield, KS","McDermott, George",1880,-96.9955918,37.2397486
"399",1545,"McDowell","Henry","Clay",1861,"Louisville","KY","M","White","Yale College","Louisville, KY","McDowell, Henry",1860,-85.7584557,38.2526647
"400",1546,"McDuffie","John"," ",1883,"River Ridge","AL","M","White","Alabama Polytechnic Institute (now Auburn University)","River Ridge, AL","McDuffie, John",1880,-86.4838595,34.598533
"401",1550,"McGarraghy","Joseph","Charles",1897,"Washington","DC","M","White","Georgetown College Law School (now Georgetown University Law Center)","Washington, DC","McGarraghy, Joseph",1890,-77.0368707,38.9071923
"402",1551,"McGee","John","Franklin",1861,"Amboy","IL","M","White","Read law","Amboy, IL","McGee, John",1860,-89.3287061,41.7141997
"403",1553,"McGohey","John","F. X.",1894,"New York","NY","M","White","Fordham University","New York, NY","McGohey, John",1890,-74.0059413,40.7127837
"404",1556,"McGranery","James","Patrick",1895,"Philadelphia","PA","M","White","Temple University School of Law","Philadelphia, PA","McGranery, James",1890,-75.163789,39.952335
"405",1557,"McGuire","Matthew","Francis",1898,"St. John`s","Canada","M","White","College of the Holy Cross","St. John`s, Canada","McGuire, Matthew",1890,-52.7128315,47.5605413
"406",1558,"McHugh","William","Douglas",1859,"Galena","IL","M","White","Read law","Galena, IL","McHugh, William",1850,-90.4290168,42.4166744
"407",1564,"McKeehan","Charles","Louis",1876,"Philadelphia","PA","M","White","University of Pennsylvania","Philadelphia, PA","McKeehan, Charles",1870,-75.163789,39.952335
"408",1575,"McLaughlin","Charles","Francis",1887,"Lincoln","NE","M","White","University of Nebraska","Lincoln, NE","McLaughlin, Charles",1880,-96.675278,40.809722
"409",1576,"McLaughlin","Gerald"," ",1893,"Newark","NJ","M","White","Fordham College","Newark, NJ","McLaughlin, Gerald",1890,-74.1723667,40.735657
"410",1582,"McLellan","Hugh","Dean",1876,"Belfast","ME","M","White","Colby College","Belfast, ME","McLellan, Hugh",1870,-69.0064234,44.4259092
"411",1585,"McMillan","Robert","Johnston",1885,"Galveston","TX","M","White","University of Texas School of Law","Galveston, TX","McMillan, Robert",1880,-94.7976958,29.3013479
"412",1591,"McNamee","Charles","Joseph",1890,"Cleveland","OH","M","White","Cleveland Law School (now Cleveland-Marshall College of Law)","Cleveland, OH","McNamee, Charles",1890,-81.6943605,41.49932
"413",1593,"McNary","John","Hugh",1867,"Marion County","OR","M","White","University of Oregon","Marion County, OR","McNary, John",1860,-122.5927411,44.8446393
"414",1602,"McReynolds","James","Clark",1862,"Elkton","KY","M","White","Vanderbilt University","Elkton, KY","McReynolds, James",1860,-87.1541675,36.8100425
"415",1603,"McVicar","Nelson"," ",1871,"Chatham, Ontario","Canada","M","White","University of Michigan Law School","Chatham, Ontario, Canada","McVicar, Nelson",1870,-82.1910376,42.4048018
"416",1605,"Meaney","Thomas","Francis",1888,"Jersey City","NJ","M","White","St. Peter`s College","Jersey City, NJ","Meaney, Thomas",1880,-74.0776417,40.7281575
"417",1609,"Medina","Harold","Raymond",1888,"Brooklyn","NY","M","White","Princeton University","Brooklyn, NY","Medina, Harold",1880,-73.9441579,40.6781784
"418",1610,"Meek","Edward","Roscoe",1865,"Davenport","IA","M","White","University of Iowa","Davenport, IA","Meek, Edward",1860,-90.5776367,41.5236437
"419",1611,"Meekins","Isaac","Melson",1875,"Tyrrell County","NC","M","White","Wake Forest College","Tyrrell County, NC","Meekins, Isaac",1870,-76.1783739,35.8925537
"420",1615,"Mellott","Arthur","Johnson",1888,"Wallula","KS","M","White","Kansas City School of Law (now University of Missouri-Kansas City School of Law)","Wallula, KS","Mellott, Arthur",1880,-94.9004242,39.205577
"421",1634,"Michie","Thomas","Johnson",1896,"Northport","NY","M","White","University of Virginia","Northport, NY","Michie, Thomas",1890,-73.3431727,40.9009313
"422",1642,"Miller","Andrew"," ",1870," ","Denmark","M","White","Read law"," , Denmark","Miller, Andrew",1870,9.501785,56.26392
"423",1646,"Miller","John","Elvis",1888,"Aid","MO","M","White","University of Kentucky College of Law","Aid, MO","Miller, John",1880,-90.0412061,36.876997
"424",1648,"Miller","Justin"," ",1888,"Crescent City","CA","M","White","Stanford University","Crescent City, CA","Miller, Justin",1880,-124.2025913,41.7557501
"425",1651,"Miller","Shackelford"," ",1892,"Louisvillle","KY","M","White","Princeton University","Louisvillle, KY","Miller, Shackelford",1890,-85.7584557,38.2526647
"426",1653,"Miller","Wilbur","Kingsbury",1892,"Owensboro","KY","M","White","University of Michigan","Owensboro, KY","Miller, Wilbur",1890,-87.1111676,37.7719074
"427",1656,"Miner","Julius","Howard",1896,"Lubon","Russia","M","White","Chicago-Kent College of Law","Lubon, Russia","Miner, Julius",1890,17.4924911,54.0255881
"428",1658,"Minton","Sherman"," ",1890,"Georgetown","IN","M","White","Indiana University School of Law -- Bloomington (now Maurer School of Law)","Georgetown, IN","Minton, Sherman",1890,-85.9755239,38.2945115
"429",1662,"Mize","Sidney","Carr",1888,"Scott County","MS","M","White","Mississippi College","Scott County, MS","Mize, Sidney",1880,-89.4742177,32.4456315
"430",1663,"Modarelli","Alfred","Egidio",1898,"Union City","NJ","M","White","Columbia University","Union City, NJ","Modarelli, Alfred",1890,-74.2631635,40.6975898
"431",1664,"Moinet","Edward","Julien",1873,"Louisville","OH","M","White","University of Michigan Law School","Louisville, OH","Moinet, Edward",1870,-81.2595519,40.8372809
"432",3310,"Mollison","Irvin","Charles",1898,"Vicksburg","MS","M","African American","University of Chicago","Vicksburg, MS","Mollison, Irvin",1890,-90.877882,32.3526456
"433",1666,"Molyneaux","Joseph","West",1863,"Bellevue","KY","M","White","Cincinnati Law School (now University of Cincinnati College of Law)","Bellevue, KY","Molyneaux, Joseph",1860,-84.478831,39.1064488
"434",1672,"Moody","William","Henry",1853,"Newbury","MA","M","White","Harvard College","Newbury, MA","Moody, William",1850,-70.845833,42.766667
"435",1674,"Moore","Ben"," ",1891,"Salyersville","KY","M","White","Read law","Salyersville, KY","Moore, Ben",1890,-83.0687816,37.7525922
"436",1675,"Moore","George"," ",1878,"La Grange","MO","M","White","University of Missouri School of Law","La Grange, MO","Moore, George",1870,-91.4976544,40.0428236
"437",1679,"Moore","Leonard","Page",1898,"Evanston","IL","M","White","Amherst College","Evanston, IL","Moore, Leonard",1890,-87.6876969,42.0450722
"438",1682,"Moorman","Charles","Harwood",1876,"Big Spring","KY","M","White","Read law","Big Spring, KY","Moorman, Charles",1870,-86.1521912,37.7992318
"439",1691,"Morris","George","Franklin",1866,"Vershire","VT","M","White","Read law","Vershire, VT","Morris, George",1860,-72.320833,43.948333
"440",1692,"Morris","Hugh","Martin",1878,"Greenwood","DE","M","White","Delaware College (now University of Delaware)","Greenwood, DE","Morris, Hugh",1870,-75.5913153,38.8070578
"441",1693,"Morris","James","Ward",1890,"Smithfield","NC","M","White","University of North Carolina","Smithfield, NC","Morris, James",1890,-78.3394455,35.5084935
"442",1696,"Morris","Page"," ",1853,"Lynchburg","VA","M","White","College of William and Mary","Lynchburg, VA","Morris, Page",1850,-79.1422464,37.4137536
"443",1700,"Morton","James","Madison",1869,"Fall River","MA","M","White","Harvard College","Fall River, MA","Morton, James",1860,-71.1550451,41.7014912
"444",1702,"Moscowitz","Grover","M.",1886,"Hot Springs","AR","M","White","New York University School of Law","Hot Springs, AR","Moscowitz, Grover",1880,-93.0551795,34.5037004
"445",3249,"Moss","John","McKenzie",1868,"Bennettstown","KY","M","White","Kent College of Law (now Chicago-Kent College of Law)","Bennettstown, KY","Moss, John",1860,-87.611403,36.6956037
"446",1714,"Mullins","Clarence","H.",1895,"Clanton","AL","M","White","University of Alabama School of Law","Clanton, AL","Mullins, Clarence",1890,-86.6294262,32.8387371
"447",1715,"Munger","Thomas","Charles",1861,"Fletcher","OH","M","White","Grinnell College","Fletcher, OH","Munger, Thomas",1860,-84.1124406,40.1447753
"448",1719,"Murphree","Thomas","Alexander",1883,"Blount County","AL","M","White","University of Alabama","Blount County, AL","Murphree, Thomas",1880,-86.4996546,34.0145152
"449",1722,"Murphy","Frank"," ",1890,"Sand Beach","MI","M","White","University of Michigan","Sand Beach, MI","Murphy, Frank",1890,-82.669947,43.8040404
"450",1733,"Myers","Francis","Kerschner",1874,"Wilmington","NC","M","White","Read law","Wilmington, NC","Myers, Francis",1870,-77.9447102,34.2257255
"451",1737,"Neblett","Colin"," ",1875,"Brunswick County","VA","M","White","Washington and Lee University School of Law","Brunswick County, VA","Neblett, Colin",1870,-77.8367282,36.7570589
"452",1749,"Neterer","Jeremiah"," ",1862,"Goshen","IN","M","White","Northern Indiana Law School (now Valparaiso University Law School)","Goshen, IN","Neterer, Jeremiah",1860,-85.8344383,41.5822716
"453",1752,"Nevin","Robert","Reasoner",1875,"Dayton","OH","M","White","Ohio State University","Dayton, OH","Nevin, Robert",1870,-84.1916069,39.7589478
"454",1763,"Nields","John","Percy",1868,"Wilmington","DE","M","White","Harvard University","Wilmington, DE","Nields, John",1860,-75.5397878,39.7390721
"455",1768,"Niles","Henry","Clay",1850,"Kosciusko","MS","M","White","Read law","Kosciusko, MS","Niles, Henry",1850,-89.5875764,33.0576295
"456",1777,"Norcross","Frank","Herbert",1869,"Reno","NV","M","White","Nevada State University (now University of Nevada, Reno)","Reno, NV","Norcross, Frank",1860,-119.8138027,39.5296329
"457",1779,"Nordbye","Gunnar","Hans",1888,"Urskog","Norway","M","White","University of Minnesota Law School","Urskog, Norway","Nordbye, Gunnar",1880,11.4680413,59.9268423
"458",1783,"Northcott","Elliott"," ",1869,"Clarksburg","WV","M","White","University of Michigan Law School","Clarksburg, WV","Northcott, Elliott",1860,-80.3445341,39.2806451
"459",1788,"Noyes","Walter","Chadwick",1865,"Lyme","CT","M","White","Cornell University","Lyme, CT","Noyes, Walter",1860,-72.35,41.4
"460",1792,"O`Brien","Ernest","Aloysius",1880,"Detroit","MI","M","White","Detroit College (now University of Detroit Mercy)","Detroit, MI","O`Brien, Ernest",1880,-83.0457538,42.331427
"461",3331,"O`Connell","Ambrose"," ",1881,"near Ottumwa","IA","M","White","University of Notre Dame","near Ottumwa, IA","O`Connell, Ambrose",1880,-92.4083022,41.0160293
"462",1793,"O`Connell","John","Joseph",1894,"Pittsburgh","PA","M","White","Duquesne University","Pittsburgh, PA","O`Connell, John",1890,-79.9958864,40.4406248
"463",1795,"O`Connor","James","Francis Thaddeus",1886,"Grand Forks","ND","M","White","University of North Dakota","Grand Forks, ND","O`Connor, James",1880,-97.0328547,47.9252568
"464",1798,"O`Donoghue","Daniel","William",1876,"Washington","DC","M","White","Georgetown College (now Georgetown University)","Washington, DC","O`Donoghue, Daniel",1870,-77.0368707,38.9071923
"465",1804,"O`Sullivan","Clifford","Patrick",1897,"Chicago","IL","M","White","Notre Dame Law School","Chicago, IL","O`Sullivan, Clifford",1890,-87.6297982,41.8781136
"466",3311,"Oliver","Webster","J.",1888,"Brooklyn","NY","M","White","Brooklyn Law School","Brooklyn, NY","Oliver, Webster",1880,-73.9441579,40.6781784
"467",1814,"Orr","Charles","Prentiss",1858,"Allegheny","PA","M","White","Hamilton College","Allegheny, PA","Orr, Charles",1850,-80.0087746,40.4450813
"468",1815,"Orr","William","Edwin",1881,"Frisco","UT","M","White","University of Nevada, Reno","Frisco, UT","Orr, William",1880,-113.2588528,38.45635
"469",1818,"Otis","Merrill","E.",1884,"Nodaway County","MO","M","White","University of Missouri","Nodaway County, MO","Otis, Merrill",1880,-94.8105955,40.2907281
"470",1825,"Page","George","True",1859,"Spring Bay","IL","M","White","University of Illinois","Spring Bay, IL","Page, George",1850,-89.5223152,40.8244814
"471",1838,"Parker","John","Johnston",1885,"Monroe","NC","M","White","University of North Carolina","Monroe, NC","Parker, John",1880,-80.5495112,34.9854275
"472",1842,"Parlange","Charles"," ",1851,"New Orleans","LA","M","White","Centenary College","New Orleans, LA","Parlange, Charles",1850,-90.0715323,29.9510658
"473",1845,"Partridge","John","Slater",1870,"Susanville","CA","M","White","University of California, Berkeley","Susanville, CA","Partridge, John",1870,-120.6530063,40.4162842
"474",1849,"Patterson","Robert","Porter",1891,"Glens Falls","NY","M","White","Union College","Glens Falls, NY","Patterson, Robert",1890,-73.6440058,43.3095164
"475",1852,"Paul","John"," ",1883,"Harrisonburg","VA","M","White","Virginia Military Institute","Harrisonburg, VA","Paul, John",1880,-78.8689155,38.4495688
"476",1857,"Peck","John","Weld",1874,"Wyoming","OH","M","White","Harvard University","Wyoming, OH","Peck, John",1870,-84.4657758,39.2311691
"477",1870,"Perry","Joseph","Samuel",1896,"Carbon Hill","AL","M","White","University of Alabama","Carbon Hill, AL","Perry, Joseph",1890,-87.5261236,33.8917742
"478",1873,"Peters","John","Andrew",1864,"Ellsworth","ME","M","White","Bowdoin College","Ellsworth, ME","Peters, John",1860,-68.4194641,44.5434095
"479",1881,"Phillips","Orie","Leon",1885,"Mercer County","IL","M","White","University of Michigan Law School","Mercer County, IL","Phillips, Orie",1880,-90.6773046,41.1985037
"480",1882,"Picard","Frank","Albert",1889,"Saginaw","MI","M","White","University of Michigan Law School","Saginaw, MI","Picard, Frank",1880,-83.9508068,43.4194699
"481",1885,"Pickett","John","Coleman",1896,"Ravenna","NE","M","White","University of Nebraska College of Law","Ravenna, NE","Pickett, John",1890,-98.9127208,41.026327
"482",1889,"Pine","David","Andrew",1891,"Washington","DC","M","White","Georgetown College Law School (now Georgetown University Law Center)","Washington, DC","Pine, David",1890,-77.0368707,38.9071923
"483",1891,"Pitney","Mahlon"," ",1858,"Morristown","NJ","M","White","College of New Jersey (now Princeton University)","Morristown, NJ","Pitney, Mahlon",1850,-74.4815438,40.7967667
"484",1894,"Platt","Casper"," ",1892,"Danville","IL","M","White","University of Illinois","Danville, IL","Platt, Casper",1890,-87.6300207,40.124481
"485",1895,"Platt","James","Perry",1851,"Towanda","PA","M","White","Yale College","Towanda, PA","Platt, James",1850,-76.4427188,41.767575
"486",1905,"Pollard","Robert","Nelson",1880,"King and Queen County","VA","M","White","University of Richmond School of Law","King and Queen County, VA","Pollard, Robert",1880,-76.8951551,37.7298568
"487",1906,"Pollock","John","Calvin",1857,"Belmont County","OH","M","White","Franklin College, New Athens, Ohio","Belmont County, OH","Pollock, John",1850,-80.8986502,40.0325848
"488",1913,"Pope","Walter","Lyndon",1889,"Valparaiso","IN","M","White","University of Nebraska","Valparaiso, IN","Pope, Walter",1880,-87.0611412,41.4730948
"489",1914,"Pope","William","Hayes",1870,"Beaufort","SC","M","White","University of Georgia","Beaufort, SC","Pope, William",1870,-80.6698286,32.4315813
"490",1921,"Porterie","Gaston","Louis Noel",1885,"Mansura","LA","M","White","Louisiana State University","Mansura, LA","Porterie, Gaston",1880,-92.049012,31.0579664
"491",1932,"Pray","Charles","Nelson",1868,"Potsdam","NY","M","White","Middlebury College","Potsdam, NY","Pray, Charles",1860,-74.9813084,44.6697805
"492",1937,"Prettyman","Elijah","Barrett",1891,"Lexington","VA","M","White","Randolph-Macon College","Lexington, VA","Prettyman, Elijah",1890,-79.4428157,37.7840208
"493",1940,"Priest","Henry","Samuel",1853,"Ralls County","MO","M","White","Westminster College, Fulton, Missouri","Ralls County, MO","Priest, Henry",1850,-91.5983959,39.5582351
"494",1941,"Pritchard","Jeter","Connelly",1857,"Jonesboro","TN","M","White","Read law","Jonesboro, TN","Pritchard, Jeter",1850,-82.4734787,36.2942722
"495",1943,"Proctor","James","McPherson",1882,"Washington","DC","M","White","George Washington University Law School","Washington, DC","Proctor, James",1880,-77.0368707,38.9071923
"496",1945,"Purdy","Milton","Dwight",1866,"Mogadore","OH","M","White","University of Minnesota","Mogadore, OH","Purdy, Milton",1860,-81.3978884,41.0464454
"497",1955,"Ragon","Heartsill"," ",1885,"Dublin","AR","M","White","Washington and Lee University School of Law","Dublin, AR","Ragon, Heartsill",1880,-64.2494812,-31.4478378
"498",3211,"Rao","Paul","Peter",1899,"Prizzi","Italy","M","White","Fordham University School of Law","Prizzi, Italy","Rao, Paul",1890,13.42825,37.7221352
"499",1967,"Rasch","Carl","L.",1866,"Schleswig-Holstein","Germany","M","White","Cornell College, Mount Vernon, Iowa","Schleswig-Holstein, Germany","Rasch, Carl",1860,9.6961167,54.2193672
"500",1969,"Rayfiel","Leo","Frederick",1888,"New York","NY","M","White","New York University School of Law","New York, NY","Rayfiel, Leo",1880,-74.0059413,40.7127837
"501",1970,"Raymond","Fred","Morton",1876,"Berlin","MI","M","White","University of Michigan Law School","Berlin, MI","Raymond, Fred",1870,-83.2720082,42.0195473
"502",1980,"Reed","James","Hay",1853,"Allegheny","PA","M","White","Western University of Pennsylvania (now University of Pittsburgh)","Allegheny, PA","Reed, James",1850,-80.0087746,40.4450813
"503",1984,"Reed","Stanley","Forman",1884,"Minerva","KY","M","White","Kentucky Wesleyan College","Minerva, KY","Reed, Stanley",1880,-83.9190929,38.7053502
"504",1985,"Reeves","Albert","L.",1873,"Steelville","MO","M","White","Steelville College, Missouri","Steelville, MO","Reeves, Albert",1870,-91.354868,37.9680999
"505",1991,"Rellstab","John"," ",1858,"Trenton","NJ","M","White","Read law","Trenton, NJ","Rellstab, John",1850,-74.7429384,40.2170534
"506",1999,"Rice","Ben","Herbert",1889,"Marlin","TX","M","White","University of Texas School of Law","Marlin, TX","Rice, Ben",1880,-96.8980439,31.3062874
"507",2000,"Rice","Eugene"," ",1891,"Union City","TN","M","White","Hall-Moody Institute, Martin, Tennessee","Union City, TN","Rice, Eugene",1890,-89.0570096,36.4242303
"508",2003,"Richards","John","Kelvey",1856,"Ironton","OH","M","White","Swarthmore College","Ironton, OH","Richards, John",1850,-82.6829406,38.5367471
"509",2007,"Riddick","Walter","Garrett",1883,"Gainesville","AR","M","White","Washington and Lee University","Gainesville, AR","Riddick, Walter",1880,-92.4940505,36.2831238
"510",2008,"Ridge","Albert","Alphonso",1898,"Nevada","MO","M","White","Read law","Nevada, MO","Ridge, Albert",1890,-94.3546719,37.8392052
"511",2011,"Riley","William","F.",1884,"Ainsworth","IA","M","White","Iowa Agricultural College (now Iowa State University)","Ainsworth, IA","Riley, William",1880,-91.5515505,41.2875208
"512",2012,"Riner","John","Alden",1850,"Preble County","OH","M","White","University of Michigan Law School","Preble County, OH","Riner, John",1850,-84.6897495,39.7778251
"513",2014,"Rippey","Harlan","Watson",1874,"Griegsville","NY","M","White","University of Rochester","Griegsville, NY","Rippey, Harlan",1870,-77.89722,42.83056
"514",2016,"Ritter","Halsted","Lockwood",1868,"Indianapolis","IN","M","White","DePauw University","Indianapolis, IN","Ritter, Halsted",1860,-86.158068,39.768403
"515",2017,"Ritter","Willis","William",1899,"Salt Lake City","UT","M","White","University of Utah","Salt Lake City, UT","Ritter, Willis",1890,-111.8910474,40.7607793
"516",2019,"Rives","Richard","Taylor",1895,"Montgomery","AL","M","White","Read law","Montgomery, AL","Rives, Richard",1890,-86.2999689,32.3668052
"517",2020,"Rizley","Ross"," ",1892,"Beaver County","OK","M","White","Kansas City School of Law (now University of Missouri-Kansas City School of Law)","Beaver County, OK","Rizley, Ross",1890,-100.5296115,36.7440186
"518",2021,"Robb","Charles","Henry",1867,"Guilford","VT","M","White","Read law","Guilford, VT","Robb, Charles",1860,-72.575487,42.8170235
"519",2711,"Roberts","Floyd","H.",1879,"Bristol","VA","M","White","University of Virginia School of Law","Bristol, VA","Roberts, Floyd",1870,-82.1888089,36.595141
"520",2024,"Roberts","Owen","Josephus",1875,"Philadelphia","PA","M","White","University of Pennsylvania","Philadelphia, PA","Roberts, Owen",1870,-75.163789,39.952335
"521",2035,"Roche","Michael","Joseph",1878,"County Waterford","Ireland","M","White","Valparaiso University Law School","County Waterford, Ireland","Roche, Michael",1870,-7.7171336,52.1964435
"522",2036,"Rodney","Richard","Seymour",1882,"New Castle","DE","M","White","Read law","New Castle, DE","Rodney, Richard",1880,-75.5668166,39.6620397
